,tweetId
1,1592776673891581952
8,1777424465892450816
13,1626628407042928640
18,1729970114479448320
28,1540055729192800256
29,1590086293706641408
89,1576335504861061120
99,1700904177558323712
107,1781231052494602240
108,1750220186005668096
115,1766449110532464896
132,1696197196868436480
149,1713589214623736064
164,1731756765568463360
203,1692167459220893952
206,1719039287893676032
207,1659068371546288128
210,1552008907454914560
211,1624180311775903744
218,1763307415259201792
238,1684713138187325440
242,1696409596384973312
245,1740723146720997376
256,1634230409746878464
266,1667612639399165952
272,1673351864711278592
280,1709233810796167424
316,1733537506321150208
322,1759068974837330176
334,1697624477285126144
339,1670496735653941248
344,1680338137992577024
347,1697414713913573888
348,1698439903846056448
349,1698901779373605120
356,1710084344390250496
377,1762026863570882816
380,1741803036648132864
392,1564367466666549248
415,1534503445868183552
420,1749039146855973120
435,1740825385099579904
437,1726947633044783360
441,1549762227615305728
474,1562790834793156608
499,1574810899520655360
502,1575832945310302208
507,1579168860493647872
517,1583812068007763968
532,963266259143024640
550,1767807809432027392
567,1758304736120386048
573,1780642512714993664
577,1674502235030450176
583,1692157303523270912
585,1733196743960117248
589,1777290319127597056
593,1763480399135875584
600,1728326133307801856
601,1726551556068110336
603,1729802675905245184
615,1698151347755815168
620,1726713275067383808
634,1747476286090448896
636,1728796648380240128
640,1767926821213856000
685,1665116384098127872
686,1698999668896584192
695,1745870230164046080
707,1711894420725862400
736,1764240613308776960
741,1672057004385525760
742,1673634704996851712
753,1774902362097733888
760,1646934948568510464
763,1772443545648976384
771,1687659752837259264
774,1749952887860465920
784,1780155811265937408
786,1681495540092243968
815,1773078006505897984
827,1569803680211210240
831,1731630071532683776
871,1732609887325278720
872,1765931797228228608
882,1750821503795347712
889,1628524514446397440
892,1730490503349850368
893,1748290992456016128
897,1654444783744569344
918,1679099173646528512
919,1675388313493213184
934,1773498497729524224
949,1760167023680618752
956,1656120916777074688
957,1656119636809641984
965,1756670401264971776
981,1709103667196899328
988,1715327000875798528
1014,1559156906459103232
1017,1564252285345169408
1018,1586073042534297600
1020,1588573277878091776
1022,1590109344976470016
1024,1591698385824018432
1025,1592358184207151104
1026,1592134439626498048
1027,1593355905269207040
1029,1594470952187805696
1030,1594896119238217728
1031,1596907540071165952
1034,1601037789621293056
1054,1737801138336890880
1076,1591226695922593792
1077,1713129622097785088
1105,1605364099541614592
1106,1606993889193246720
1110,1631952691961233408
1113,1668631117535272960
1117,1745085138587791616
1121,1720114043351122176
1123,1746487127649481216
1126,1732324405571662080
1147,1768617056939729408
1164,1752807728387371264
1165,1693652152588058624
1170,1724719595385233920
1178,1655281411279011840
1179,1658300849146286080
1182,1770534054888079872
1199,1695119423785353472
1232,1617599475949633536
1242,1704668479259820288
1245,1732163859610321408
1247,1738264635110010880
1262,1654220529329397760
1266,1698982991395979520
1268,1760014979032358912
1278,1775174271410532352
1283,1764919351038156800
1291,1686678471144058880
1324,1718378362144497920
1335,1718398893791105280
1340,1730329593133797632
1348,1527719915666526208
1352,1603234415307546624
1357,1727328945278988544
1360,1746225174767190272
1370,1735358985103130624
1371,1741759265176777216
1390,1590016250662752256
1405,1762544041902661888
1406,1766584326404051200
1415,1770188560508813568
1425,1779478468897685504
1427,1537469328446169088
1432,1756444873694093568
1433,1658756005881319424
1437,1700786403380974080
1502,1639409188211159040
1518,1575200785910013952
1537,1625294366737825792
1554,1559024633373917184
1559,1577661736588550144
1564,1749484988137926656
1576,1557695028146872320
1579,1683664037677084672
1590,1612728198319726592
1591,1681428980430438400
1606,1563348503744487424
1608,1623454887454334976
1738,1633882137144479744
1741,1760756408746914048
1744,1738471838773039104
1748,1686001699352096768
1750,1537295677377617920
1753,1720012548064362752
1762,1774540729710186752
1787,1661033923810304000
1812,1680321491957604352
1822,1712150620549865472
1832,1686865990137806848
1835,1692805167589318912
1836,1714189809303044608
1844,1659761737200185344
1845,1693923335795560704
1859,1768043402401067264
1860,1768369668270477824
1869,1773669826826797312
1894,1758477278000918784
1897,1719360823926165504
1901,1746114096473444352
1908,1647265318874628096
1909,1782383159105266176
1911,1772565606987894784
1942,1780600023312662784
1943,1780452335942279680
1946,1700395506382311680
1947,1706746885141414144
1948,1707487592076247296
1958,1780153561168453888
1978,1779527689826717696
1984,1756876277141709056
1986,1678096199679725568
1993,1633805534305345536
2016,1691614611852632320
2018,1715853847686439424
2028,1770158478973182208
2038,1744882117266252032
2047,1616743750444670976
2054,1765833607296307712
2059,1588367560952758272
2065,1718004739185541632
2067,1667673412653797376
2068,1698882874492293376
2072,1694755742010499072
2081,1725868963999965696
2087,1709862483832303616
2088,1716268305571364864
2089,1716295685786488832
2090,1716313990215909888
2091,1707657006415487488
2092,1716690815031152896
2093,1716732690488271104
2096,1717718389240590592
2100,1727165306429120768
2101,1723586262634725888
2104,1727014819914453504
2106,1726454786889842688
2107,1729424323319144448
2108,1730425826187878400
2111,1736660529236607488
2113,1750019902113513728
2114,1755176166204260864
2116,1756563573369893120
2117,1661071840146513920
2119,1721546821930205440
2122,1724019481255546880
2124,1778854726085313024
2148,1527462342761402368
2149,1534667479573843968
2156,1571449936226689024
2172,1653094038449340416
2196,1729051507822305280
2197,1742239250404515840
2199,1653950350905286656
2206,1778568250504446464
2216,1740725465021845504
2217,1637895994762199040
2218,1639666743353266176
2219,1639677490279985152
2221,1640573497264013312
2237,1700804803385765888
2239,1708463663030354176
2241,1718402846914224384
2247,1739367383439917312
2279,1759533287804973312
2281,1776025080910524928
2287,1594752254728278016
2290,1763201700893274112
2298,1707704302201184768
2307,1595266350322421760
2308,1614611028624670720
2311,1665829620686688256
2319,1546132388530585600
2320,1678162115499110400
2329,1693407528833417472
2331,1710042491343225088
2337,1780654330036605440
2389,1720650452692320256
2401,1708937380172911104
2406,1707356983303790848
2409,1767603483228717568
2410,1775499148227158016
2411,1688234454769340416
2454,1709971473937346816
2470,1544082172188930048
2482,1780994599206732032
2494,1783641785190719744
2500,1765422517513073152
2507,1709558934212689920
2508,1752984454929449216
2557,1529489919823032320
2558,1529486997894602752
2560,1530597834118123520
2561,1531289700098375680
2562,1531000816492068864
2563,1529224831761252352
2564,1529213643664986112
2567,1531472340479000576
2569,1534924361433481216
2570,1533129540842639360
2571,1534608101848109056
2572,1535261648885272576
2573,1530932642572533760
2592,1759101691620954624
2607,1744830276138926592
2619,1649097558386688000
2631,1626401725165740032
2634,1627034599183290368
2635,1621897467884376064
2636,1628088091402547200
2648,1630262709173248000
2649,1629500570082967552
2658,1629337073663582208
2664,1631935492613722112
2665,1632216963601637376
2666,1632289767437271040
2667,1631241018824704000
2688,1638203974842220544
2690,1638275962398822400
2691,1638908681092751360
2703,1645536149908357120
2707,1645984842411130880
2717,1651632961496784896
2722,1658091346677186560
2743,1679537153989287936
2744,1715637214820934144
2749,1732130870046199808
2756,1778395602469961728
2764,1663892410089209856
2766,1675085673823453184
2771,1741115254040608768
2798,1751638578516423168
2806,1754483399815823360
2808,1766422406606754048
2810,1738153142326305024
2811,1743477797778018816
2812,1745343810471690752
2823,1711282728438780160
2824,1711550013753446400
2830,1713879744708481280
2836,1719651063647650048
2901,1737110686428528640
2905,1739590036704956672
2908,1743848472376197120
2915,1759744786272006400
2916,1759985214586019840
2926,1776006836149191168
2930,1783143182798127104
2944,1741842854404882688
2949,1745706371918725632
2957,1692470348032160256
2973,1692402193784074240
2978,1599443404538007552
2983,1674431689563734016
2988,1731028738727362816
2998,1749936742872870912
3017,1745632163951689728
3019,1655929784361263104
3020,1736189012610547968
3021,1778867093816963072
3029,1739344004980862976
3042,1763870993750122752
3047,1774879125964038400
3070,1656141293276332032
3074,1662444697695002624
3079,1672595241600442368
3080,1672595241550106624
3087,1605619687101894656
3091,1544313690354290688
3096,1714707616364949504
3097,1616739049544323072
3098,1616590124510478336
3100,1644339059215548416
3102,1671932419300278272
3103,1684362786481098752
3126,1742438517844947200
3133,1698479724777840640
3137,1773693052596416768
3139,1727821956223832576
3146,1658196511941861376
3151,1754430962732093696
3159,1657143872667910144
3162,1673649140893380608
3164,1759585198122185216
3178,1672065938877980672
3199,1690369814760751104
3201,1711960173349048320
3203,1750044143420895488
3211,1702368629508153344
3219,1738011026644422656
3232,1658136999730225152
3233,1662406531122597888
3239,1714357542879457280
3261,1764975263148847616
3280,1758467637514793216
3281,1711740878333604096
3298,1777241807400980736
3318,1779898432586395904
3321,1674762868451942400
3332,1742572450783658240
3353,1710722539897397760
3355,1560627020844961792
3356,1563708422805233664
3373,1593718765560238080
3376,1732791116267704576
3394,1739086381664903424
3415,1592949807920058368
3417,1593445769708818432
3421,1659629893179588608
3423,1745742165223809024
3433,1758092189328888064
3441,1727340386249769216
3453,1768555202582339840
3456,1709137340092891392
3465,1742973258528612608
3476,1734641610405621760
3485,1723699059733516800
3509,1681154392924508160
3515,1744898873926021376
3516,1759964993624096768
3529,1647334989045047296
3580,1542776524637609984
3584,1623455361897467904
3605,1740401194399629568
3623,1663166586864406528
3630,1735702881964011520
3644,1561367521504251904
3655,1759944606257406208
3670,1736133483183927552
3672,1763649257771344128
3679,1699212817390584064
3693,1632552744027320320
3695,1764609532431364096
3701,1674378356610027520
3705,1679365741643022336
3717,1759508502945423360
3718,1699500320978526208
3738,1740766555062039040
3744,1772947095651004928
3747,1703583531685806336
3761,1779256404223701248
3763,1759988876301516800
3772,1705321983045521408
3773,1712151596874731776
3780,1764682248597471744
3805,1660907785637318656
3807,1781342494480826624
3810,1624919371733950464
3811,1753115951284031744
3813,1702627341791346688
3819,1727385957597577472
3847,1776500019849265408
3849,1778660907079348736
3852,1745706413333049344
3858,1647794410858348544
3863,1763114249386094848
3864,1742256929181991168
3876,1710701529613693440
3880,1657181364297293824
3886,1726266269056545280
3887,1729041551417127168
3896,1712186982410178816
3904,1700638583345062400
3908,1712145795695149312
3909,1718378878463254528
3912,1741529330377760768
3927,1744602424793346560
3935,1576044130211614720
3938,1747894169891381504
3956,1776628355892187392
4007,1763604505898172672
4012,1768281193286423040
4013,1768315101008760832
4014,1769845410967793664
4025,1735680570703712512
4026,1735705554725511680
4028,1752714424769491200
4032,1740886303661605120
4056,1652541990226018304
4060,1690986455277924352
4098,1528478546024226816
4099,1722209850740850944
4103,1772623357600580096
4105,1678129068758405120
4109,1742773739560083456
4114,1743028329803120896
4119,1711232665507222016
4120,1719297557442986240
4141,1737864480464491008
4153,1741958779376116224
4159,1717367951706169856
4162,1780376039199224064
4195,1689077357120823296
4202,1776725735698252032
4205,1678334497576701952
4222,1779787498832478720
4231,1592546551368679424
4232,1592682774703779840
4234,1593754426518519808
4235,1346488314157797376
4236,1594087579208413184
4238,1599939717826416640
4258,1773142770640617728
4265,1767930395071222016
4271,1757189998204576256
4275,1765776827950280704
4276,1766450971620606208
4284,1564072252202782720
4285,1615710800500383744
4286,1651339201542246400
4288,1662224660438679552
4304,1756073792063860736
4320,1739352727816208896
4321,1680878270856740864
4339,1684293778813616128
4372,1762211234529558528
4385,1740190702309437952
4413,1679680396555096064
4416,1694257497232593408
4427,1783137851401494784
4429,1670854741843226624
4432,1584585527126536192
4439,1754556095845093632
4447,1544371827136421888
4448,1603924162505891840
4456,1750259389750030592
4467,1666293641999011840
4470,1733509668268388608
4473,1696575769860861952
4477,1766792774983291392
4479,1727102088109310208
4485,1677445744100343808
4499,1768365990897750016
4525,1730488821504979456
4550,1628087414722895872
4580,1680723520513527808
4581,1682983223868166144
4587,1639187461577363456
4590,1769414910377607424
4592,1771854481090662656
4599,1668909937794097152
4610,1662134773907701760
4614,1670182772709769216
4623,1781713383395635456
4633,1591206480338116608
4639,1772407948481892352
4640,1772698939071868928
4641,1771803490790068736
4652,1557066043134279680
4653,1557322966425370624
4655,1644900934122876928
4657,1647035429290377216
4661,1651832631393386496
4662,1654471265292369920
4666,1564635142429237248
4673,1662128886845435904
4682,1685812619930656768
4690,1740795986333569536
4693,1698315955854594304
4734,1689291500121702400
4735,1700429229014360320
4742,1706481912817320192
4753,1768663884154494976
4764,1746191850115940352
4790,1722288045024542720
4791,1769917971403510016
4792,1776776993012391936
4793,1780202858756923648
4797,1733059935951265792
4806,1709385826512080896
4809,1623642867976527872
4820,1640849042925322240
4838,1726930415447933440
4846,1737945754516525056
4860,1612109524294311936
4899,1761764299020595456
4900,1766796572744953856
4903,1625600926613487616
4924,1712855782356558080
4926,1713259478697619712
4927,1778835888564228608
4943,1763755878266671360
4976,1720518604175897088
4989,1775375617157943808
5006,1778424546569110016
5028,1758647083081334784
5031,1706614121527922688
5043,1739122261800419584
5055,1565497116507660288
5062,1722084985044394240
5063,1732132723882385408
5064,1732223468974854400
5065,1732598543100379392
5083,1618217167388053504
5109,1777377786887557120
5116,1576522127620063232
5124,1737901535185486336
5140,1640749841327292416
5142,1653440176520306688
5149,1731285928738537984
5171,1594029166059524096
5174,1728145307072958720
5197,1708508378736017408
5253,1661829409156767744
5271,1684198454292099072
5299,1728049713444773888
5303,1726409425890508800
5307,1776256715123532288
5322,1764010076774506496
5340,1726215304655905024
5351,1729099632238850304
5352,1766587976098656256
5382,1631695250585714688
5393,1717507312976617984
5400,1781974512591855616
5406,1667947301988610048
5411,1688575469711425536
5413,1713253496869294080
5446,1777332532473639168
5457,1758438238522323456
5461,1733153254299578880
5462,1733534583197487360
5472,1660987148395511808
5491,1729924303221592320
5519,1695521922220495360
5528,1734332439688773888
5530,1769422612675858688
5532,1777348156583281152
5534,1771967628262699264
5537,1755339558244286720
5547,1778500428730179840
5551,1677733159545217024
5565,1699346439069954304
5596,1713414082836193280
5602,1748123060937314560
5603,1750382908043415808
5605,1751729832642117632
5606,1751627862380060928
5610,1762701595077227008
5612,1767003970059292928
5616,1614682779765309440
5620,1688126707079708672
5637,1775808167630295296
5646,1734268175108178176
5651,1656724054974373888
5658,1763606458686386432
5661,1710050983131193600
5672,1751432640425849088
5694,1590019165611782144
5699,1764273469028438272
5722,1571261923970416640
5729,1646841167193989120
5731,1696272241984749568
5736,1687572290362392576
5771,1554890393564635136
5775,1769488399289725184
5800,1721596385953304832
5802,1703215063941669120
5814,1648118340320219136
5827,1783109545268572160
5847,1684439542378692608
5848,1738675545414488320
5854,1716722804836466944
5858,1772412645565493248
5860,1722485641676484864
5862,1718318543022821632
5876,1749455305266594048
5877,1638206494922485760
5888,1712194768598659328
5905,1764644222726971648
5914,1665702089551478784
5919,1608960917953478656
5920,1609700438936530944
5923,1778175221234553088
5973,1712735210503331840
5974,1776000485327085568
5981,1770134114097680384
5997,1781241888638390528
6030,1629525568298397696
6031,1781668094852595712
6058,1769544580964249856
6060,1778453190251368448
6062,1743331664812785920
6069,1594195847704907776
6073,1738665797344485632
6074,1772629946852126976
6076,1749142573350818048
6079,1754345840905224192
6084,1781104263017734144
6101,1696150006737039616
6104,1710847243375214848
6105,1711753224477147392
6106,1720599434755506432
6107,1720586327391961344
6109,1777177780427358464
6128,1727362083774468096
6131,1760939798217306624
6139,1766592513576784128
6147,1750972248003870720
6148,1656013997647462400
6150,1736187584441647616
6153,1766760037903380480
6165,1712844903732912640
6167,1748795303484928512
6199,1727020340193472768
6227,1642573665089863680
6252,1732312922724995072
6298,1771598641100103936
6303,1760219532566597632
6337,1777810062527889664
6352,1776453880315838464
6358,1729471572019233280
6360,1760383725030822144
6361,1765371812982948096
6370,1715309817110110464
